id,avg_total_steps,avg_total_calories,avg_very_active_mins,avg_fairly_active_mins,avg_lighly_active_mins,avg_sedentary_mins,avg_total_mins_asleep,total_mins_in_bed,activeness_level
1503960366,12520.633333333333,1876.9666666666667,40,19.8,227.26666666666668,828.4333333333333,360.28,383.2,VERY_ACTIVE
1624580081,5836.333333333333,1499.4,8.966666666666667,6,155.03333333333333,1270,NULL,NULL,ACTIVE
1644430081,7282.966666666666,2811.3,9.566666666666666,21.366666666666667,178.46666666666667,1161.8666666666666,294,346,ACTIVE
1844505072,2666.0666666666666,1603.7666666666667,0.13333333333333333,1.3333333333333333,119.3,1223.1333333333334,652,961,NOT_ACTIVE
1927972279,946.6666666666666,2199.133333333333,1.3666666666666667,0.8,39.86666666666667,1329.1333333333334,417,437.8,NOT_ACTIVE
2022484408,11445.766666666666,2531.866666666667,36.96666666666667,19.466666666666665,258.1666666666667,1125.4,NULL,NULL,VERY_ACTIVE
2026352035,5456.066666666667,1546.5333333333333,0.1,0.26666666666666666,253.76666666666668,701.4,508.037037037037,539.5925925925926,ACTIVE
2320127002,4785.4,1744.1333333333334,1.4,2.6666666666666665,200.53333333333333,1233.1,61,69,ACTIVE
2347167796,9519.666666666666,2043.4444444444443,13.5,20.555555555555557,252.5,687.1666666666666,446.8,491.3333333333333,ACTIVE
2873212765,7555.433333333333,1933.1666666666667,14.566666666666666,6.333333333333333,309.3333333333333,1109.7666666666667,NULL,NULL,ACTIVE
3372868164,6861.65,1933.1,9.15,4.1,327.9,1077.55,NULL,NULL,ACTIVE
3977333714,10984.566666666668,1513.6666666666667,18.9,61.266666666666666,174.76666666666668,707.5333333333333,293.64285714285717,461.14285714285717,ACTIVE
4020332650,2323.133333333333,2428,5.366666666666666,5.533333333333333,78.8,1254.4666666666667,349.375,379.75,NOT_ACTIVE
4319703577,7510.566666666667,2097.0333333333333,3.7,12.733333333333333,236.33333333333334,760.3333333333334,483.64,509.2,ACTIVE
4388161847,11062.1,3142.9,23.933333333333334,21.033333333333335,233.4,837.0666666666667,400.17391304347825,423.2173913043478,ACTIVE
4445114986,4930.833333333333,2218.6666666666665,6.833333333333333,1.8,214.13333333333333,844.9,381.55555555555554,413.7037037037037,ACTIVE
4558609924,7731.066666666667,2052.633333333333,10.733333333333333,14.166666666666666,286.23333333333335,1105.5333333333333,127.6,140,ACTIVE
4702921684,8766.066666666668,3023.0666666666666,5.3,26.9,243.13333333333333,783.9333333333333,418,438.0769230769231,ACTIVE
5553957443,8795.633333333333,1913.5,23.933333333333334,13.233333333333333,211.46666666666667,683.2333333333333,464.3333333333333,506.9,ACTIVE
5577150313,8304.433333333332,3359.633333333333,87.33333333333333,29.833333333333332,147.93333333333334,754.4333333333333,432,460.61538461538464,VERY_ACTIVE
6117666160,7046.714285714285,2261.1428571428573,1.5714285714285714,2.0357142857142856,288.35714285714283,796.2857142857143,478.77777777777777,510.1666666666667,ACTIVE
6290855005,5649.551724137931,2599.6206896551726,2.7586206896551726,3.793103448275862,227.44827586206895,1193.0344827586207,NULL,NULL,ACTIVE
6775888955,2519.6923076923076,2131.769230769231,11,14.807692307692308,40.15384615384615,1299.423076923077,349.6666666666667,369,NOT_ACTIVE
6962181067,10001.733333333334,2017.1666666666667,23.566666666666666,18.866666666666667,250.5,680.1666666666666,445.73333333333335,463.8333333333333,ACTIVE
7007744171,11323.423076923076,2544,31.03846153846154,16.26923076923077,280.7307692307692,1055.3461538461538,68.5,71.5,VERY_ACTIVE
7086361926,9557.866666666667,2611.9333333333334,43.833333333333336,26.066666666666666,146.7,867.3666666666667,453.5217391304348,466.82608695652175,VERY_ACTIVE
8053475328,15088.8,2993.8333333333335,87.06666666666666,9.766666666666667,154.7,1158.3,297,301.6666666666667,VERY_ACTIVE
8253242879,6482.1578947368425,1788,20.526315789473685,14.31578947368421,116.89473684210526,1287.3684210526317,NULL,NULL,NOT_ACTIVE
8378563200,8856.266666666666,3485.266666666667,60.36666666666667,10.4,157.9,725.5666666666667,443.43333333333334,483.93333333333334,VERY_ACTIVE
8583815059,7438.466666666666,2823.1,10,22.933333333333334,142.9,1261.4666666666667,NULL,NULL,ACTIVE
8792009665,1853.7241379310344,1962.3103448275863,0.9655172413793104,4.0344827586206895,91.79310344827586,1060.4827586206898,435.6666666666667,453.8,NOT_ACTIVE
8877689391,16305.9,3472.633333333333,67.5,10.233333333333333,237.96666666666667,1124.3,NULL,NULL,VERY_ACTIVE
