Id,ActivityHour,StepTotal
1503960366,2016-04-12 00:00:00,373.00
1503960366,2016-04-12 01:00:00,160.00
1503960366,2016-04-12 02:00:00,151.00
1503960366,2016-04-12 03:00:00,0.00
1503960366,2016-04-12 04:00:00,0.00
1503960366,2016-04-12 05:00:00,0.00
1503960366,2016-04-12 06:00:00,0.00
1503960366,2016-04-12 07:00:00,0.00
1503960366,2016-04-12 08:00:00,250.00
1503960366,2016-04-12 09:00:00,1864.00
1503960366,2016-04-12 10:00:00,676.00
1503960366,2016-04-12 11:00:00,360.00
1503960366,2016-04-12 12:00:00,253.00
1503960366,2016-04-12 13:00:00,221.00
1503960366,2016-04-12 14:00:00,1166.00
1503960366,2016-04-12 15:00:00,2063.00
1503960366,2016-04-12 16:00:00,344.00
1503960366,2016-04-12 17:00:00,489.00
1503960366,2016-04-12 18:00:00,1386.00
1503960366,2016-04-12 19:00:00,558.00
1503960366,2016-04-12 20:00:00,1733.00
1503960366,2016-04-12 21:00:00,684.00
1503960366,2016-04-12 22:00:00,89.00
1503960366,2016-04-12 23:00:00,338.00
1503960366,2016-04-13 00:00:00,144.00
1503960366,2016-04-13 01:00:00,0.00
1503960366,2016-04-13 02:00:00,0.00
1503960366,2016-04-13 03:00:00,36.00
1503960366,2016-04-13 04:00:00,0.00
1503960366,2016-04-13 05:00:00,0.00
1503960366,2016-04-13 06:00:00,0.00
1503960366,2016-04-13 07:00:00,126.00
1503960366,2016-04-13 08:00:00,275.00
1503960366,2016-04-13 09:00:00,1679.00
1503960366,2016-04-13 10:00:00,295.00
1503960366,2016-04-13 11:00:00,524.00
1503960366,2016-04-13 12:00:00,486.00
1503960366,2016-04-13 13:00:00,302.00
1503960366,2016-04-13 14:00:00,1577.00
1503960366,2016-04-13 15:00:00,493.00
1503960366,2016-04-13 16:00:00,299.00
1503960366,2016-04-13 17:00:00,695.00
1503960366,2016-04-13 18:00:00,1343.00
1503960366,2016-04-13 19:00:00,258.00
1503960366,2016-04-13 20:00:00,0.00
1503960366,2016-04-13 21:00:00,0.00
1503960366,2016-04-13 22:00:00,437.00
1503960366,2016-04-13 23:00:00,1766.00
1503960366,2016-04-14 00:00:00,81.00
1503960366,2016-04-14 01:00:00,58.00
1503960366,2016-04-14 02:00:00,0.00
1503960366,2016-04-14 03:00:00,0.00
1503960366,2016-04-14 04:00:00,0.00
1503960366,2016-04-14 05:00:00,0.00
1503960366,2016-04-14 06:00:00,0.00
1503960366,2016-04-14 07:00:00,0.00
1503960366,2016-04-14 08:00:00,0.00
1503960366,2016-04-14 09:00:00,902.00
1503960366,2016-04-14 10:00:00,1106.00
1503960366,2016-04-14 11:00:00,50.00
1503960366,2016-04-14 12:00:00,501.00
1503960366,2016-04-14 13:00:00,1779.00
1503960366,2016-04-14 14:00:00,1228.00
1503960366,2016-04-14 15:00:00,139.00
1503960366,2016-04-14 16:00:00,408.00
1503960366,2016-04-14 17:00:00,37.00
1503960366,2016-04-14 18:00:00,322.00
1503960366,2016-04-14 19:00:00,11.00
1503960366,2016-04-14 20:00:00,806.00
1503960366,2016-04-14 21:00:00,2670.00
1503960366,2016-04-14 22:00:00,362.00
1503960366,2016-04-14 23:00:00,0.00
1503960366,2016-04-15 00:00:00,83.00
1503960366,2016-04-15 01:00:00,75.00
1503960366,2016-04-15 02:00:00,124.00
1503960366,2016-04-15 03:00:00,0.00
1503960366,2016-04-15 04:00:00,0.00
1503960366,2016-04-15 05:00:00,26.00
1503960366,2016-04-15 06:00:00,0.00
1503960366,2016-04-15 07:00:00,7.00
1503960366,2016-04-15 08:00:00,55.00
1503960366,2016-04-15 09:00:00,21.00
1503960366,2016-04-15 10:00:00,154.00
1503960366,2016-04-15 11:00:00,425.00
1503960366,2016-04-15 12:00:00,270.00
1503960366,2016-04-15 13:00:00,373.00
1503960366,2016-04-15 14:00:00,0.00
1503960366,2016-04-15 15:00:00,0.00
1503960366,2016-04-15 16:00:00,0.00
1503960366,2016-04-15 17:00:00,1774.00
1503960366,2016-04-15 18:00:00,509.00
1503960366,2016-04-15 19:00:00,519.00
1503960366,2016-04-15 20:00:00,77.00
1503960366,2016-04-15 21:00:00,280.00
1503960366,2016-04-15 22:00:00,2145.00
1503960366,2016-04-15 23:00:00,2768.00
1503960366,2016-04-16 00:00:00,459.00
1503960366,2016-04-16 01:00:00,0.00
1503960366,2016-04-16 02:00:00,63.00
1503960366,2016-04-16 03:00:00,6.00
1503960366,2016-04-16 04:00:00,6.00
1503960366,2016-04-16 05:00:00,12.00
1503960366,2016-04-16 06:00:00,0.00
1503960366,2016-04-16 07:00:00,101.00
1503960366,2016-04-16 08:00:00,175.00
1503960366,2016-04-16 09:00:00,1181.00
1503960366,2016-04-16 10:00:00,1295.00
1503960366,2016-04-16 11:00:00,2043.00
1503960366,2016-04-16 12:00:00,1513.00
1503960366,2016-04-16 13:00:00,3616.00
1503960366,2016-04-16 14:00:00,580.00
1503960366,2016-04-16 15:00:00,0.00
