Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
1503960366,2016-04-12 00:00:00,1.00,327.00,346.00
1503960366,2016-04-13 00:00:00,2.00,384.00,407.00
1503960366,2016-04-15 00:00:00,1.00,412.00,442.00
1503960366,2016-04-16 00:00:00,2.00,340.00,367.00
1503960366,2016-04-17 00:00:00,1.00,700.00,712.00
1503960366,2016-04-19 00:00:00,1.00,304.00,320.00
1503960366,2016-04-20 00:00:00,1.00,360.00,377.00
1503960366,2016-04-21 00:00:00,1.00,325.00,364.00
1503960366,2016-04-23 00:00:00,1.00,361.00,384.00
1503960366,2016-04-24 00:00:00,1.00,430.00,449.00
1503960366,2016-04-25 00:00:00,1.00,277.00,323.00
1503960366,2016-04-26 00:00:00,1.00,245.00,274.00
1503960366,2016-04-28 00:00:00,1.00,366.00,393.00
1503960366,2016-04-29 00:00:00,1.00,341.00,354.00
1503960366,2016-04-30 00:00:00,1.00,404.00,425.00
1503960366,2016-05-01 00:00:00,1.00,369.00,396.00
1503960366,2016-05-02 00:00:00,1.00,277.00,309.00
1503960366,2016-05-03 00:00:00,1.00,273.00,296.00
1503960366,2016-05-05 00:00:00,1.00,247.00,264.00
1503960366,2016-05-06 00:00:00,1.00,334.00,367.00
1503960366,2016-05-07 00:00:00,1.00,331.00,349.00
1503960366,2016-05-08 00:00:00,1.00,594.00,611.00
1503960366,2016-05-09 00:00:00,1.00,338.00,342.00
1503960366,2016-05-10 00:00:00,1.00,383.00,403.00
1503960366,2016-05-11 00:00:00,1.00,285.00,306.00
1644430081,2016-04-29 00:00:00,1.00,119.00,127.00
1644430081,2016-04-30 00:00:00,1.00,124.00,142.00
1644430081,2016-05-02 00:00:00,1.00,796.00,961.00
1644430081,2016-05-08 00:00:00,1.00,137.00,154.00
1844505072,2016-04-15 00:00:00,1.00,644.00,961.00
1844505072,2016-04-30 00:00:00,1.00,722.00,961.00
1844505072,2016-05-01 00:00:00,1.00,590.00,961.00
1927972279,2016-04-12 00:00:00,3.00,750.00,775.00
1927972279,2016-04-13 00:00:00,1.00,398.00,422.00
1927972279,2016-04-15 00:00:00,2.00,475.00,499.00
1927972279,2016-04-26 00:00:00,1.00,296.00,315.00
